<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MAIL,60,20200722,110000,1855.2000000,1874.2000000,1855.2000000,1864.4000000,31935
MAIL,60,20200722,120000,1864.4000000,1867.2000000,1857.0000000,1857.4000000,10406
MAIL,60,20200722,130000,1857.6000000,1861.0000000,1850.6000000,1851.8000000,11287
MAIL,60,20200722,140000,1851.6000000,1857.0000000,1845.8000000,1852.6000000,18902
MAIL,60,20200722,150000,1851.2000000,1857.8000000,1848.0000000,1853.0000000,9107
MAIL,60,20200722,160000,1855.0000000,1860.0000000,1851.0000000,1858.8000000,8520
MAIL,60,20200722,170000,1858.8000000,1858.8000000,1845.8000000,1851.0000000,25764
MAIL,60,20200722,180000,1850.8000000,1864.0000000,1835.6000000,1860.0000000,38155
MAIL,60,20200722,190000,1860.0000000,1871.0000000,1859.8000000,1863.0000000,27137
MAIL,60,20200723,110000,1886.0000000,1913.6000000,1876.6000000,1893.0000000,102705
MAIL,60,20200723,120000,1894.0000000,1898.0000000,1890.6000000,1897.8000000,18173
MAIL,60,20200723,130000,1897.8000000,1908.0000000,1896.0000000,1905.6000000,26904
MAIL,60,20200723,140000,1905.6000000,1909.0000000,1901.6000000,1907.0000000,28484
MAIL,60,20200723,150000,1907.4000000,1909.0000000,1900.2000000,1901.6000000,27976
MAIL,60,20200723,160000,1900.6000000,1910.0000000,1899.4000000,1907.2000000,23514
MAIL,60,20200723,170000,1907.2000000,1907.2000000,1892.0000000,1894.2000000,39426
MAIL,60,20200723,180000,1893.8000000,1908.0000000,1892.8000000,1908.0000000,36537
MAIL,60,20200723,190000,1907.8000000,1915.6000000,1905.4000000,1911.0000000,26461
MAIL,60,20200724,110000,1912.0000000,1914.8000000,1885.2000000,1891.4000000,39731
MAIL,60,20200724,120000,1890.8000000,1897.8000000,1886.0000000,1890.0000000,27491
MAIL,60,20200724,130000,1889.8000000,1896.0000000,1882.8000000,1894.0000000,13180
MAIL,60,20200724,140000,1894.6000000,1905.4000000,1891.0000000,1902.6000000,12873
MAIL,60,20200724,150000,1902.6000000,1907.8000000,1898.0000000,1900.6000000,19940
MAIL,60,20200724,160000,1901.6000000,1911.2000000,1900.4000000,1910.0000000,43783
MAIL,60,20200724,170000,1910.0000000,1915.8000000,1898.0000000,1905.4000000,25596
MAIL,60,20200724,180000,1903.0000000,1905.0000000,1895.0000000,1895.2000000,11348
MAIL,60,20200724,190000,1895.2000000,1908.0000000,1895.2000000,1906.2000000,10927
MAIL,60,20200727,110000,1915.8000000,1935.0000000,1907.2000000,1930.0000000,32732
MAIL,60,20200727,120000,1930.0000000,1933.4000000,1925.0000000,1933.4000000,15162
MAIL,60,20200727,130000,1933.4000000,1934.4000000,1915.0000000,1921.4000000,30776
MAIL,60,20200727,140000,1921.8000000,1923.8000000,1907.2000000,1911.8000000,29060
MAIL,60,20200727,150000,1911.8000000,1915.6000000,1908.0000000,1912.8000000,28368
MAIL,60,20200727,160000,1912.0000000,1916.8000000,1905.2000000,1910.4000000,8251
MAIL,60,20200727,170000,1911.2000000,1919.8000000,1908.6000000,1913.8000000,15389
MAIL,60,20200727,180000,1913.8000000,1918.8000000,1908.0000000,1909.2000000,17829
MAIL,60,20200727,190000,1909.2000000,1918.2000000,1908.2000000,1915.0000000,5535
MAIL,60,20200728,110000,1915.2000000,1946.0000000,1915.0000000,1943.2000000,28845
MAIL,60,20200728,120000,1941.8000000,1947.0000000,1941.2000000,1943.8000000,15511
MAIL,60,20200728,130000,1943.8000000,1947.8000000,1941.2000000,1946.4000000,9446
MAIL,60,20200728,140000,1946.2000000,1952.2000000,1944.6000000,1952.2000000,16761
MAIL,60,20200728,150000,1952.0000000,1980.6000000,1949.0000000,1979.4000000,28583
MAIL,60,20200728,160000,1979.6000000,1979.8000000,1968.0000000,1970.4000000,10449
MAIL,60,20200728,170000,1971.6000000,1975.0000000,1967.2000000,1968.6000000,12471
MAIL,60,20200728,180000,1969.6000000,1989.0000000,1968.0000000,1980.2000000,29017
MAIL,60,20200728,190000,1983.4000000,1990.6000000,1979.0000000,1985.0000000,17114
MAIL,60,20200729,110000,2020.6000000,2021.6000000,1985.0000000,2015.0000000,90679
MAIL,60,20200729,120000,2015.0000000,2020.0000000,2012.2000000,2014.4000000,28596
MAIL,60,20200729,130000,2015.0000000,2020.0000000,2005.0000000,2017.6000000,35194
MAIL,60,20200729,140000,2016.4000000,2019.0000000,2009.0000000,2016.4000000,16423
MAIL,60,20200729,150000,2015.4000000,2020.6000000,2002.0000000,2005.0000000,29308
MAIL,60,20200729,160000,2005.0000000,2013.2000000,2003.8000000,2010.8000000,11509
MAIL,60,20200729,170000,2011.0000000,2011.2000000,1995.6000000,2002.0000000,26420
MAIL,60,20200729,180000,2002.0000000,2003.4000000,1995.0000000,1998.6000000,13931
MAIL,60,20200729,190000,1998.6000000,2005.8000000,1995.8000000,2005.8000000,7046
MAIL,60,20200730,110000,2018.8000000,2026.0000000,2000.0000000,2008.0000000,28050
MAIL,60,20200730,120000,2008.6000000,2009.6000000,1991.0000000,1993.0000000,14235
MAIL,60,20200730,130000,1993.0000000,1999.6000000,1970.2000000,1997.8000000,13784
MAIL,60,20200730,140000,1997.6000000,2001.0000000,1991.0000000,1994.6000000,5268
MAIL,60,20200730,150000,1993.2000000,2004.8000000,1993.2000000,2001.0000000,8268
MAIL,60,20200730,160000,2003.2000000,2018.0000000,1999.2000000,2004.4000000,10064
MAIL,60,20200730,170000,2004.2000000,2004.2000000,1991.2000000,1993.4000000,11304
MAIL,60,20200730,180000,1993.4000000,1993.4000000,1971.0000000,1977.2000000,18804
MAIL,60,20200730,190000,1977.2000000,2014.2000000,1976.0000000,1990.0000000,9460
MAIL,60,20200731,110000,2004.0000000,2022.0000000,1995.0000000,2002.2000000,21372
MAIL,60,20200731,120000,2002.8000000,2008.0000000,1982.0000000,1987.0000000,18642
MAIL,60,20200731,130000,1987.2000000,1993.2000000,1983.8000000,1989.2000000,7580
MAIL,60,20200731,140000,1990.0000000,1996.8000000,1986.6000000,1991.4000000,4741
MAIL,60,20200731,150000,1991.0000000,1992.0000000,1989.0000000,1991.6000000,3146
MAIL,60,20200731,160000,1990.2000000,1999.0000000,1989.0000000,1998.0000000,8872
MAIL,60,20200731,170000,1997.4000000,2002.0000000,1994.4000000,1997.8000000,9284
MAIL,60,20200731,180000,1997.8000000,2002.0000000,1960.0000000,1973.4000000,32447
MAIL,60,20200731,190000,1973.4000000,1981.2000000,1964.2000000,1975.0000000,11894
MAIL,60,20200803,110000,2001.2000000,2021.4000000,1994.2000000,2020.2000000,36793
MAIL,60,20200803,120000,2020.2000000,2042.8000000,2018.0000000,2037.6000000,34377
MAIL,60,20200803,130000,2037.6000000,2048.6000000,2035.0000000,2044.2000000,25101
MAIL,60,20200803,140000,2044.0000000,2051.2000000,2034.0000000,2040.8000000,26936
MAIL,60,20200803,150000,2041.0000000,2043.0000000,2025.2000000,2033.4000000,22573
MAIL,60,20200803,160000,2033.4000000,2039.8000000,2030.0000000,2039.6000000,16186
MAIL,60,20200803,170000,2039.6000000,2042.0000000,2030.0000000,2033.0000000,22607
MAIL,60,20200803,180000,2033.6000000,2035.0000000,2013.0000000,2015.4000000,56520
MAIL,60,20200803,190000,2015.0000000,2029.8000000,2007.0000000,2028.0000000,29991
MAIL,60,20200804,110000,2049.8000000,2052.0000000,2016.0000000,2037.0000000,51903
MAIL,60,20200804,120000,2038.0000000,2046.0000000,2032.0000000,2034.2000000,14017
MAIL,60,20200804,130000,2034.2000000,2050.0000000,2028.4000000,2048.8000000,16217
MAIL,60,20200804,140000,2049.6000000,2062.0000000,2049.6000000,2056.0000000,26110
MAIL,60,20200804,150000,2056.0000000,2061.0000000,2052.2000000,2056.0000000,13199
MAIL,60,20200804,160000,2056.0000000,2059.0000000,2052.2000000,2052.2000000,10539
MAIL,60,20200804,170000,2054.0000000,2055.4000000,2032.8000000,2037.2000000,29641
MAIL,60,20200804,180000,2038.8000000,2042.0000000,2025.0000000,2036.8000000,50330
MAIL,60,20200804,190000,2036.4000000,2043.0000000,2033.8000000,2043.0000000,14858
MAIL,60,20200805,110000,2054.8000000,2054.8000000,2030.2000000,2046.0000000,35073
MAIL,60,20200805,120000,2046.4000000,2053.6000000,2040.0000000,2040.0000000,16214
MAIL,60,20200805,130000,2041.6000000,2044.6000000,2030.0000000,2037.0000000,32829
MAIL,60,20200805,140000,2036.8000000,2042.0000000,2033.4000000,2039.4000000,9457
MAIL,60,20200805,150000,2040.6000000,2045.0000000,2036.0000000,2038.6000000,13061
MAIL,60,20200805,160000,2038.6000000,2040.0000000,2025.2000000,2026.0000000,29350
MAIL,60,20200805,170000,2026.4000000,2037.0000000,2025.0000000,2032.2000000,13779
MAIL,60,20200805,180000,2030.0000000,2031.6000000,2025.0000000,2027.2000000,12742
MAIL,60,20200805,190000,2028.6000000,2031.6000000,2025.0000000,2031.4000000,13311
MAIL,60,20200806,110000,2039.6000000,2040.0000000,2014.0000000,2025.8000000,27782
MAIL,60,20200806,120000,2026.6000000,2026.8000000,2015.2000000,2017.0000000,24032
MAIL,60,20200806,130000,2017.8000000,2019.8000000,2010.0000000,2013.4000000,16861
MAIL,60,20200806,140000,2013.4000000,2015.6000000,2006.0000000,2008.6000000,17704
MAIL,60,20200806,150000,2008.8000000,2011.8000000,1996.0000000,1997.0000000,30997
MAIL,60,20200806,160000,1997.0000000,2003.0000000,1995.2000000,1999.2000000,30578
MAIL,60,20200806,170000,1999.2000000,2003.2000000,1987.6000000,1990.4000000,50231
MAIL,60,20200806,180000,1990.2000000,1994.6000000,1984.0000000,1985.0000000,34270
MAIL,60,20200806,190000,1984.2000000,2000.0000000,1980.0000000,1985.0000000,33240
MAIL,60,20200807,110000,2008.4000000,2008.8000000,1987.8000000,2002.0000000,32844
MAIL,60,20200807,120000,2001.8000000,2010.0000000,1985.0000000,1987.6000000,38175
MAIL,60,20200807,130000,1987.6000000,1995.0000000,1985.6000000,1990.0000000,17095
MAIL,60,20200807,140000,1990.2000000,1992.8000000,1983.0000000,1983.8000000,12514
MAIL,60,20200807,150000,1984.0000000,1989.0000000,1982.0000000,1986.0000000,5466
MAIL,60,20200807,160000,1986.8000000,1989.8000000,1980.0000000,1984.2000000,9438
MAIL,60,20200807,170000,1984.6000000,1985.0000000,1980.0000000,1980.2000000,10888
MAIL,60,20200807,180000,1981.0000000,1984.4000000,1972.0000000,1973.8000000,24083
MAIL,60,20200807,190000,1973.8000000,1986.0000000,1972.8000000,1986.0000000,13748
MAIL,60,20200810,110000,1999.8000000,2009.0000000,1970.0000000,2005.6000000,31458
MAIL,60,20200810,120000,2005.2000000,2006.0000000,1995.0000000,1998.4000000,15699
MAIL,60,20200810,130000,1997.2000000,2009.0000000,1997.2000000,2009.0000000,12347
MAIL,60,20200810,140000,2008.8000000,2009.0000000,2004.8000000,2007.0000000,6830
MAIL,60,20200810,150000,2006.2000000,2008.0000000,2000.2000000,2002.2000000,7516
MAIL,60,20200810,160000,2002.2000000,2002.4000000,1998.6000000,1999.4000000,7533
MAIL,60,20200810,170000,1999.4000000,2002.8000000,1990.0000000,2001.2000000,14225
MAIL,60,20200810,180000,2001.4000000,2008.8000000,1998.2000000,2004.8000000,13471
MAIL,60,20200810,190000,2004.8000000,2005.0000000,1993.0000000,1999.4000000,7896
MAIL,60,20200811,110000,2000.0000000,2001.2000000,1980.4000000,1989.0000000,49636
MAIL,60,20200811,120000,1989.0000000,2008.0000000,1982.0000000,1996.0000000,54677
MAIL,60,20200811,130000,1996.0000000,2005.0000000,1987.2000000,1998.6000000,29501
MAIL,60,20200811,140000,1999.8000000,2005.2000000,1985.2000000,1986.2000000,24772
MAIL,60,20200811,150000,1986.4000000,1991.0000000,1972.0000000,1974.0000000,44100
MAIL,60,20200811,160000,1974.0000000,1984.6000000,1971.0000000,1982.2000000,17946
MAIL,60,20200811,170000,1982.2000000,1984.0000000,1970.0000000,1978.0000000,29590
MAIL,60,20200811,180000,1978.8000000,1982.0000000,1974.6000000,1978.0000000,12313
MAIL,60,20200811,190000,1978.0000000,1982.2000000,1972.0000000,1973.0000000,23576
MAIL,60,20200812,110000,1974.0000000,1983.0000000,1957.0000000,1971.2000000,19781
MAIL,60,20200812,120000,1972.0000000,1987.4000000,1972.0000000,1985.8000000,25305
MAIL,60,20200812,130000,1987.4000000,1989.4000000,1973.0000000,1975.2000000,16727
MAIL,60,20200812,140000,1975.2000000,1977.0000000,1970.0000000,1975.0000000,10147
MAIL,60,20200812,150000,1974.6000000,1981.2000000,1973.4000000,1977.4000000,10483
MAIL,60,20200812,160000,1977.4000000,1981.4000000,1974.8000000,1974.8000000,7933
MAIL,60,20200812,170000,1975.0000000,1985.6000000,1971.0000000,1982.6000000,16866
MAIL,60,20200812,180000,1982.4000000,1986.0000000,1979.0000000,1986.0000000,9370
MAIL,60,20200812,190000,1986.0000000,1987.0000000,1982.0000000,1986.6000000,16292
MAIL,60,20200813,110000,1990.0000000,1997.8000000,1975.0000000,1997.0000000,41922
MAIL,60,20200813,120000,1997.0000000,2006.6000000,1994.2000000,2001.8000000,61499
MAIL,60,20200813,130000,2001.8000000,2012.0000000,2001.0000000,2012.0000000,39898
MAIL,60,20200813,140000,2012.0000000,2027.8000000,2005.8000000,2014.8000000,44059
MAIL,60,20200813,150000,2014.0000000,2038.8000000,2012.0000000,2031.0000000,48180
MAIL,60,20200813,160000,2031.0000000,2035.2000000,2030.0000000,2032.0000000,28753
MAIL,60,20200813,170000,2033.2000000,2040.0000000,2032.2000000,2040.0000000,32297
MAIL,60,20200813,180000,2040.0000000,2053.4000000,2039.8000000,2045.2000000,69006
MAIL,60,20200813,190000,2046.4000000,2055.0000000,2040.2000000,2044.0000000,30555
MAIL,60,20200814,110000,2042.4000000,2046.8000000,2015.0000000,2037.8000000,38120
MAIL,60,20200814,120000,2037.8000000,2039.4000000,2025.0000000,2026.8000000,28173
MAIL,60,20200814,130000,2026.6000000,2039.8000000,2020.2000000,2036.0000000,14101
MAIL,60,20200814,140000,2036.0000000,2067.8000000,2036.0000000,2067.8000000,61636
MAIL,60,20200814,150000,2066.8000000,2085.0000000,2066.6000000,2082.0000000,104799
MAIL,60,20200814,160000,2083.0000000,2084.2000000,2068.0000000,2068.0000000,38260
MAIL,60,20200814,170000,2068.6000000,2076.0000000,2062.4000000,2070.6000000,27877
MAIL,60,20200814,180000,2071.0000000,2076.0000000,2068.6000000,2076.0000000,23149
MAIL,60,20200814,190000,2076.0000000,2079.8000000,2075.4000000,2079.8000000,7971
MAIL,60,20200817,110000,2086.8000000,2116.0000000,2080.0000000,2114.0000000,102751
MAIL,60,20200817,120000,2113.8000000,2135.8000000,2110.8000000,2135.6000000,89980
MAIL,60,20200817,130000,2135.0000000,2145.8000000,2130.2000000,2142.0000000,73483
MAIL,60,20200817,140000,2142.0000000,2144.4000000,2125.8000000,2130.8000000,65814
MAIL,60,20200817,150000,2130.0000000,2133.2000000,2112.6000000,2122.4000000,49492
MAIL,60,20200817,160000,2122.8000000,2122.8000000,2094.0000000,2094.0000000,79096
MAIL,60,20200817,170000,2094.0000000,2112.0000000,2094.0000000,2109.6000000,37170
MAIL,60,20200817,180000,2110.0000000,2110.2000000,2100.2000000,2106.8000000,28047
MAIL,60,20200817,190000,2106.2000000,2107.2000000,2095.0000000,2106.0000000,27603
MAIL,60,20200818,110000,2109.8000000,2138.4000000,2060.2000000,2092.0000000,105524
MAIL,60,20200818,120000,2090.0000000,2091.0000000,2070.0000000,2070.0000000,35273
MAIL,60,20200818,130000,2070.6000000,2082.8000000,2070.0000000,2075.2000000,30521
MAIL,60,20200818,140000,2076.8000000,2080.0000000,2069.0000000,2069.0000000,19928
MAIL,60,20200818,150000,2069.2000000,2074.2000000,2065.0000000,2071.0000000,33077
MAIL,60,20200818,160000,2070.0000000,2086.8000000,2068.2000000,2086.6000000,22469
MAIL,60,20200818,170000,2084.4000000,2088.4000000,2072.4000000,2077.6000000,15675
